protocolType	typeId	subsystemId	controllable	widget	type	uiClass	localPairing
1	4303880194	0	io:SomfyRainIOSystemSensor	RainSensor	2	RainSensor	1
1	4311613440	1	io:WindowStateSensor	IntrusionEventSensor	2	ContactSensor	1
1	4311613440	2	io:IntrusionSensor	IntrusionSensor	2	ContactSensor	1
1	1103823241218	1	io:WindowStateSensor	IntrusionEventSensor	2	ContactSensor	1
1	1103823241218	2	io:SomfyIDEOIIntrusionSensor	IntrusionSensor	2	ContactSensor	1
1	2203334868994	1	io:SlidingWindowStateSensor	IntrusionEventSensor	2	ContactSensor	1
1	2203334868994	2	io:SomfyIDEOIIntrusionSensor	IntrusionSensor	2	ContactSensor	1
1	4311678976	0	io:GenericPulseSensor	unknown	2	unknown	1
1	8656978944	0	io:StackComponent	IOStack	5	ProtocolGateway	1
1	21475622912	0	io:BeaconIOComponent	Repeater	6	NetworkComponent	1
1	25836847104	0	io:IORemoteController	RemoteControllerOneWay	4	RemoteController	1
1	25836847616	0	io:KeygoController	RemoteControllerOneWay	4	RemoteController	1
1	25836847872	0	io:IzymoController	RemoteControllerOneWay	4	RemoteController	1
1	1099511628043	1	io:KizOThermV2IOComponent	KizOThermV2Bridge	1	HeatingSystem	0
1	1099511628043	2	io:KizOThermRoomTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1099511628043	3	io:KizOThermBoilerTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1099511628043	4	io:KizOThermDHWTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1099511628043	5	io:KizOThermOutsideTemperatureSensor	TemperatureSensor	2	TemperatureSensor	0
1	1099511758850	0	io:RollerShutterWithLowSpeedManagementIOComponent	PositionableRollerShutterWithLowSpeedManagement	1	RollerShutter	1
1	1099511759106	0	io:GradHermeticIOComponent	PositionableOrOrientableRollerShutter	1	AdjustableSlatsRollerShutter	1
1	1099511824386	0	io:PergolaScreenIOComponent	PositionableAndStretchablePergolaScreen	1	Pergola	1
1	1099511889922	0	io:WindowOpenerUnoIOComponent	PositionableWindowUno	1	Window	1
1	1099511970306	0	io:DiscreteGarageOpenerWithPartialPositionIOComponent	PositionableGarageDoorWithPartialPosition	1	GarageDoor	1
1	1099512020994	0	io:DimmableLightIOComponent	DimmerLight	1	Light	1
